name,address,flavors
RALEY'S,"890 SOUTHAMPTON RD, BENICIA, CA 94510","Cake Batter, Phish Food®, Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Everything But The...®, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, Pistachio Pistachio®, Red Velvet Cake, S'mores, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Half Baked®, Blueberry Vanilla Graham, Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, AmeriCone Dream™, Raspberry Fudge Chunk"
RALEY'S,"5420 SUNOL BLVD, PLEASANTON, CA 94566","Cake Batter, Cinnamon Buns, Phish Food®, Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Everything But The...®, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, Peanut Butter Cup™, Pistachio Pistachio®, Red Velvet Cake, S'mores, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Cherry Garcia®, Chocolate Fudge Brownie™, Half Baked®, Blueberry Vanilla Graham, Raspberry Fudge Chunk, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, AmeriCone Dream™"
WALGREENS,"2300 OTIS DR, ALAMEDA, CA 94501","Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Half Baked®, Peanut Butter Cup™, Phish Food®"
CVS PHARMACY,"2314 SANTA CLARA AVE, ALAMEDA, CA 94501","Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Half Baked®, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, AmeriCone Dream™"
WALGREENS,"1916 WEBSTER ST, ALAMEDA, CA 94501","Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Half Baked®, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Red Velvet Cake, AmeriCone Dream™, Triple Caramel Chunk"
FOOD MAXX,"3000 E 9TH ST, OAKLAND, CA 94601","Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Half Baked®, New York Super Fudge Chunk®, Phish Food®, Pistachio Pistachio®, Vanilla HEATH® Bar Crunch, Raspberry Fudge Chunk, Strawberry Shortcake"
CVS PHARMACY,"885 ISLAND DR STE A, ALAMEDA, CA 94502","Cherry Garcia®, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Half Baked®, New York Super Fudge Chunk®, Phish Food®, AmeriCone Dream™"
WALGREENS,"3232 FOOTHILL BLVD, OAKLAND, CA 94601","Cherry Garcia®, Coffee HEATH® Bar Crunch, Milk & Cookies, New York Super Fudge Chunk®, Peanut Butter Cup™, Phish Food®, Pistachio Pistachio®, Red Velvet Cake, AmeriCone Dream™, Triple Caramel Chunk, Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Half Baked®"
CVS PHARMACY,"931 MARINA VILLAGE PKWY, ALAMEDA, CA 94501","Chocolate Chip Cookie Dough, Chocolate Fudge Brownie™, Chunky Monkey®, Coffee HEATH® Bar Crunch, Half Baked®, New York Super Fudge Chunk®, Peanut Butter Cup™"
SAFEWAY,"1499 WASHINGTON AVE, SAN LEANDRO, CA 94577","Chubby Hubby®, Oatmeal Cookie Chunk, Phish Food®, Liz Lemon, Coffee, Coffee BuzzBuzzBuzz!, Vanilla Honey Caramel, Pineapple Passionfruit, Chocolate Peppermint Crunch, Banana Split, Boston Cream Pie, Cheesecake Brownie, Chocolate Nougat Crunch, Chocolate Therapy®, Cinnamon Buns, Everything But The...®, Imagine Whirled Peace™, Karamel Sutra®, Late Night Snack, Milk & Cookies, Mint Chocolate Cookie, S'mores, Strawberry Cheesecake, Triple Caramel Chunk, Vanilla, Vanilla Caramel Fudge, Vanilla HEATH® Bar Crunch, Peach Cobbler™, Chocolate Fudge Brownie™, Half Baked®, Banana Peanut Butter, Blueberry Vanilla Graham, Strawberry Shortcake, Red Velvet Cake, Raspberry Fudge Chunk, Cherry Garcia®, Chocolate Chip Cookie Dough, Chunky Monkey®, Coffee HEATH® Bar Crunch, New York Super Fudge Chunk®, Peanut Butter Cup™, Pistachio Pistachio®, AmeriCone Dream™"
